# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1614305732, 0, 0, 1, 1, 1, 4.79%, 0, 0, 1, 18.35
1614305737, 0, 0, 82, 82, 1, 5.27%, 0, 0, 2, 24.79
1614305742, 0, 0, 129, 129, 1, 5.52%, 0, 0, 2, 18.39
1614305748, 0, 0, 156, 156, 1, 5.68%, 0, 0, 2, 18.89
1614305753, 0, 0, 179, 178, 0, 5.79%, 1, 0, 2, 21.15
1614305758, 0, 0, 202, 201, 0, 5.96%, 1, 0, 2, 193.40
1614305763, 0, 0, 222, 221, 0, 6.24%, 1, 0, 2, 19.16
1614305768, 0, 0, 242, 241, 0, 6.50%, 1, 0, 2, 25.73
1614305773, 0, 2, 281, 280, 128, 6.58%, 1, 0, 3, 363.27
1614305778, 0, 14, 304, 299, 131, 6.60%, 1, 0, 3, 21.04
1614305783, 0, 14, 321, 315, 130, 6.61%, 1, 0, 3, 21.66
1614305788, 0, 14, 336, 330, 130, 6.62%, 1, 0, 3, 27.27
1614305794, 0, 14, 347, 341, 130, 6.62%, 1, 0, 3, 22.60
1614305799, 0, 30, 360, 350, 133, 6.63%, 1, 0, 3, 18.69
1614305804, 0, 30, 377, 366, 132, 6.64%, 1, 0, 3, 39.12
1614305809, 0, 30, 387, 376, 132, 6.64%, 1, 0, 3, 22.95
1614305814, 0, 51, 415, 399, 135, 6.70%, 2, 0, 3, 18.63
1614305819, 0, 77, 436, 413, 128, 6.73%, 2, 0, 3, 2900.00
1614305825, 0, 105, 469, 437, 126, 6.79%, 2, 0, 3, 107.78
1614305830, 0, 127, 510, 471, 122, 6.84%, 2, 0, 3, 2527.17
1614305835, 0, 166, 527, 478, 115, 6.88%, 2, 0, 3, 18.57
1614305840, 0, 168, 544, 494, 117, 6.90%, 2, 0, 3, 1818.95
1614305845, 0, 186, 567, 509, 120, 6.98%, 2, 0, 3, 18.19
1614305850, 0, 196, 580, 516, 117, 7.00%, 3, 0, 3, 741.67
1614305856, 0, 211, 594, 524, 114, 7.03%, 3, 0, 3, 18.52
1614305861, 0, 226, 608, 532, 116, 7.07%, 3, 0, 3, 631.24
1614305866, 0, 234, 620, 539, 115, 7.09%, 3, 0, 3, 18.32
1614305871, 0, 244, 637, 551, 117, 7.11%, 3, 0, 3, 455.00
1614305876, 0, 276, 657, 561, 113, 7.20%, 4, 0, 4, 1950.17
1614305881, 0, 367, 679, 563, 106, 7.23%, 4, 0, 4, 2261.65
1614305886, 0, 438, 712, 582, 103, 7.28%, 5, 0, 4, 2222.51
1614305891, 0, 465, 736, 597, 100, 7.31%, 5, 0, 4, 455.00
1614305897, 0, 489, 748, 602, 95, 7.31%, 5, 0, 4, 79.14
1614305902, 0, 544, 767, 610, 87, 7.32%, 5, 0, 4, 255.16
1614305907, 0, 589, 783, 615, 78, 7.33%, 5, 0, 4, 790.63
1614305912, 0, 609, 810, 632, 76, 7.36%, 5, 0, 4, 18.56
1614305917, 0, 638, 817, 631, 68, 7.36%, 5, 0, 4, 1408.61
1614305922, 0, 658, 850, 653, 65, 7.38%, 6, 0, 5, 1339.14
1614305927, 0, 685, 870, 658, 56, 7.39%, 7, 0, 5, 322.45
1614305933, 0, 685, 887, 675, 56, 7.40%, 7, 0, 5, 280.33
1614305938, 0, 705, 913, 688, 55, 7.41%, 9, 0, 5, 1785.09
1614305943, 0, 768, 939, 701, 50, 7.44%, 9, 0, 5, 653.31
1614305948, 0, 852, 969, 714, 46, 7.46%, 10, 0, 6, 18.65
1614305953, 0, 911, 994, 724, 38, 7.47%, 10, 0, 6, 1404.59
1614305958, 0, 928, 1029, 750, 39, 7.48%, 11, 0, 6, 2644.31
1614305963, 0, 962, 1058, 767, 32, 7.49%, 11, 0, 7, 1572.16
1614305968, 0, 1013, 1076, 773, 28, 7.49%, 12, 0, 7, 1435.20
1614305973, 0, 1057, 1110, 793, 23, 7.50%, 15, 0, 8, 2015.19
1614305979, 0, 1092, 1141, 814, 21, 7.51%, 16, 0, 8, 475.82
1614305984, 0, 1120, 1158, 820, 19, 7.53%, 19, 0, 9, 2395.25
1614305989, 0, 1148, 1186, 839, 25, 7.58%, 20, 0, 9, 183.86
1614305994, 0, 1174, 1210, 854, 24, 7.60%, 20, 0, 10, 2014.63
1614305999, 0, 1200, 1228, 861, 17, 7.61%, 24, 0, 11, 2240.53
1614306004, 0, 1227, 1256, 880, 12, 7.61%, 26, 0, 12, 2099.71
1614306010, 0, 1261, 1286, 897, 9, 7.61%, 26, 0, 13, 2401.76
1614306015, 0, 1294, 1301, 903, 8, 7.61%, 26, 0, 14, 2801.75
1614306021, 0, 1310, 1317, 912, 7, 7.62%, 26, 1, 16, 291.58
1614306026, 1, 568, 1329, 912, 2, 7.62%, 26, 1, 19, 1743.16
1614306031, 1, 1338, 1345, 918, 0, 7.62%, 26, 1, 19, 1569.68
1614306036, 2, 447, 1350, 916, 1, 7.62%, 26, 2, 19, 1067.59
1614306041, 2, 1244, 1358, 914, 0, 7.62%, 26, 2, 19, 1637.33
1614306046, 3, 927, 1368, 917, 0, 7.64%, 27, 2, 19, 2004.68
1614306051, 3, 1151, 1371, 916, 1, 7.64%, 27, 2, 19, 346.22
1614306057, 3, 1376, 1385, 924, 2, 7.64%, 27, 3, 19, 2252.69
1614306062, 3, 1389, 1405, 940, 1, 7.64%, 27, 3, 19, 1246.74
1614306067, 3, 1404, 1406, 940, 1, 7.64%, 27, 5, 19, 861.09
1614306072, 4, 57, 1408, 928, 0, 7.64%, 27, 5, 19, 1478.03
1614306077, 4, 109, 1410, 918, 0, 7.64%, 27, 5, 19, 1656.16
1614306082, 4, 167, 1412, 909, 0, 7.64%, 27, 5, 19, 1314.85
1614306087, 4, 323, 1416, 909, 1, 7.65%, 27, 5, 19, 963.56
1614306093, 4, 1265, 1425, 913, 5, 7.65%, 27, 6, 19, 22.59
1614306098, 4, 1422, 1433, 916, 4, 7.65%, 28, 6, 19, 1363.45
1614306103, 5, 41, 1436, 910, 0, 7.65%, 28, 6, 19, 1637.69
1614306108, 5, 1310, 1447, 910, 4, 7.65%, 29, 6, 19, 1820.18
1614306113, 5, 1451, 1453, 909, 1, 7.65%, 29, 6, 19, 1948.32
1614306119, 6, 228, 1455, 902, 1, 7.65%, 30, 6, 19, 2155.16
1614306124, 6, 1178, 1455, 891, 1, 7.65%, 30, 6, 19, 1916.66
1614306129, 7, 809, 1459, 888, 1, 7.66%, 30, 6, 19, 94.84
1614306134, 7, 1457, 1466, 888, 4, 7.67%, 30, 6, 19, 2122.33
1614306139, 8, 59, 1471, 884, 0, 7.67%, 30, 6, 19, 426.20
1614306145, 8, 1309, 1477, 881, 1, 7.67%, 30, 6, 19, 183.57
1614306150, 9, 70, 1477, 875, 0, 7.67%, 30, 6, 19, 3088.32
1614306155, 9, 286, 1481, 870, 1, 7.67%, 30, 6, 19, 1926.92
1614306160, 9, 1492, 1493, 871, 1, 7.67%, 30, 6, 19, 2343.52
1614306165, 10, 749, 1506, 876, 1, 7.70%, 30, 6, 19, 2049.30
1614306170, 10, 1327, 1512, 874, 1, 7.70%, 30, 7, 19, 2810.00
1614306175, 11, 1007, 1518, 872, 2, 7.70%, 30, 7, 19, 1539.16
1614306181, 12, 52, 1524, 874, 0, 7.70%, 30, 7, 19, 2537.20
1614306186, 12, 123, 1527, 869, 0, 7.70%, 30, 7, 19, 1869.23
1614306191, 12, 197, 1529, 864, 0, 7.70%, 32, 7, 19, 1478.98
1614306196, 12, 1468, 1536, 861, 1, 7.71%, 32, 7, 19, 1857.71
1614306201, 13, 186, 1541, 860, 1, 7.71%, 32, 7, 19, 2802.50
1614306206, 13, 1447, 1546, 859, 3, 7.75%, 33, 7, 19, 1574.32
1614306211, 13, 1552, 1556, 863, 3, 7.83%, 34, 7, 19, 2076.02
1614306217, 13, 1563, 1567, 869, 1, 7.85%, 35, 7, 19, 1712.01
1614306222, 13, 1568, 1569, 869, 0, 7.85%, 35, 7, 20, 240.75
1614306227, 14, 58, 1570, 869, 0, 7.85%, 35, 7, 20, 1673.91
1614306232, 14, 123, 1573, 869, 0, 7.85%, 35, 7, 20, 1573.10
1614306237, 14, 181, 1575, 865, 0, 7.85%, 35, 7, 20, 1195.31
1614306242, 14, 1033, 1578, 862, 1, 7.85%, 35, 7, 20, 1039.22
1614306247, 14, 1568, 1588, 869, 3, 7.86%, 35, 7, 21, 72.73
