# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1614266032, 0, 0, 1, 1, 1, 4.79%, 0, 0, 1, 18.52
1614266037, 0, 0, 89, 89, 1, 5.36%, 0, 0, 2, 18.52
1614266043, 0, 0, 172, 171, 0, 5.79%, 0, 0, 2, 18.60
1614266048, 0, 9, 195, 189, 89, 5.91%, 0, 0, 3, 18.64
1614266053, 0, 20, 212, 201, 88, 6.06%, 0, 0, 3, 19.06
1614266058, 0, 28, 234, 220, 96, 6.12%, 0, 0, 3, 24.05
1614266063, 0, 39, 263, 247, 95, 6.23%, 0, 0, 3, 45.62
1614266068, 0, 43, 291, 274, 105, 6.29%, 0, 0, 3, 818.97
1614266073, 0, 50, 327, 306, 111, 6.48%, 2, 0, 3, 21.58
1614266079, 0, 59, 358, 335, 127, 6.73%, 2, 0, 3, 694.29
1614266084, 0, 68, 396, 369, 125, 6.78%, 2, 0, 3, 201.75
1614266089, 0, 99, 422, 386, 120, 6.81%, 3, 0, 3, 885.17
1614266094, 0, 114, 443, 405, 129, 6.84%, 3, 0, 3, 18.94
1614266099, 0, 119, 459, 419, 129, 6.87%, 4, 0, 3, 284.16
1614266104, 0, 119, 475, 434, 128, 6.87%, 4, 0, 3, 18.65
1614266110, 0, 134, 487, 441, 126, 6.88%, 4, 0, 3, 18.67
1614266115, 0, 151, 505, 454, 125, 6.94%, 4, 0, 3, 18.69
1614266120, 0, 162, 525, 473, 125, 6.96%, 5, 0, 3, 18.52
1614266125, 0, 166, 543, 487, 126, 6.98%, 6, 0, 3, 18.65
1614266130, 0, 202, 557, 490, 119, 7.01%, 7, 0, 4, 18.65
1614266136, 0, 212, 577, 505, 115, 7.02%, 8, 0, 4, 69.11
1614266141, 0, 228, 603, 526, 118, 7.05%, 9, 0, 4, 1248.75
1614266146, 0, 263, 639, 552, 119, 7.07%, 11, 0, 4, 1913.80
1614266151, 0, 313, 658, 558, 110, 7.09%, 12, 0, 4, 2880.00
1614266156, 0, 327, 668, 560, 102, 7.09%, 12, 0, 4, 28.37
1614266161, 0, 333, 682, 570, 102, 7.09%, 12, 0, 4, 18.69
1614266167, 0, 373, 695, 574, 96, 7.10%, 13, 0, 4, 1951.66
1614266172, 0, 421, 715, 580, 88, 7.13%, 13, 0, 4, 1337.34
1614266177, 0, 496, 733, 585, 83, 7.15%, 13, 0, 4, 1025.31
1614266183, 0, 530, 753, 595, 73, 7.16%, 13, 0, 4, 71.57
1614266188, 0, 566, 767, 595, 63, 7.17%, 13, 0, 5, 1917.49
1614266193, 0, 597, 799, 618, 67, 7.28%, 13, 0, 5, 710.26
1614266199, 0, 625, 843, 652, 73, 7.30%, 14, 0, 5, 83.33
1614266204, 0, 653, 857, 657, 69, 7.34%, 14, 0, 5, 21.75
1614266209, 0, 697, 875, 664, 68, 7.36%, 14, 0, 5, 317.46
1614266214, 0, 712, 889, 675, 66, 7.36%, 15, 0, 5, 21.76
1614266220, 0, 737, 912, 690, 68, 7.37%, 16, 0, 5, 13.07
1614266225, 0, 770, 951, 718, 64, 7.38%, 16, 0, 6, 1299.19
1614266230, 0, 789, 972, 726, 62, 7.40%, 17, 0, 6, 1368.60
1614266235, 0, 803, 985, 730, 54, 7.42%, 17, 0, 6, 2217.58
1614266240, 0, 853, 1002, 738, 46, 7.42%, 17, 0, 6, 214.29
1614266245, 0, 935, 1021, 741, 36, 7.42%, 18, 0, 6, 2557.47
1614266250, 0, 974, 1040, 745, 27, 7.46%, 18, 0, 7, 2606.72
1614266255, 0, 1019, 1067, 758, 20, 7.47%, 18, 0, 7, 1645.55
1614266260, 0, 1044, 1090, 771, 15, 7.48%, 18, 0, 8, 1781.08
1614266266, 0, 1083, 1109, 780, 15, 7.48%, 18, 0, 9, 625.71
1614266271, 0, 1095, 1122, 787, 18, 7.49%, 19, 0, 9, 13.07
1614266276, 0, 1116, 1141, 797, 15, 7.49%, 20, 0, 10, 1663.03
1614266281, 1, 248, 1158, 803, 7, 7.50%, 20, 0, 12, 2032.14
1614266286, 1, 1049, 1183, 815, 3, 7.51%, 20, 0, 12, 1340.81
1614266291, 1, 1186, 1194, 817, 8, 7.51%, 21, 0, 12, 2098.03
1614266296, 1, 1203, 1211, 827, 5, 7.53%, 21, 0, 12, 1145.00
1614266301, 2, 44, 1230, 836, 2, 7.57%, 22, 0, 15, 389.16
1614266306, 2, 948, 1236, 831, 3, 7.57%, 22, 0, 15, 1216.92
1614266313, 2, 1241, 1250, 836, 6, 7.57%, 22, 1, 15, 100.85
1614266318, 2, 1248, 1274, 855, 6, 7.58%, 23, 1, 16, 260.61
1614266323, 2, 1278, 1292, 865, 2, 7.58%, 24, 1, 17, 2246.49
1614266328, 2, 1308, 1311, 877, 2, 7.59%, 24, 1, 21, 2302.62
1614266333, 3, 10, 1324, 883, 0, 7.59%, 27, 1, 24, 2282.58
1614266338, 3, 768, 1327, 876, 1, 7.60%, 28, 1, 24, 1431.71
1614266343, 3, 1332, 1337, 881, 2, 7.60%, 28, 2, 24, 1682.74
1614266349, 3, 1350, 1358, 898, 1, 7.62%, 28, 3, 24, 171.64
